,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
0,default,0.0,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7380543e-22,0.53013925113,42941.2793415,0.481725894851,1.52808118102e-10,3251.64979025
1,effective_pressure,50000.0,68000.0,29463.5769103,3.48321517288e-10,6.24992899534e-09,-0.0328882360948,1e-06,0.081,0.374698849335,1.18736872007e-10,2529.21723301
2,effective_pressure,64577.4832507,68000.0,37513.4520368,3.89965154452e-10,1.18836883699e-09,-0.00702692333517,1e-06,0.081,0.374698866621,1.18736877484e-10,2529.21734969
3,effective_pressure,83405.02686,68000.0,47630.3537262,4.42301939378e-10,-4.42301939378e-10,6.78127552915e-23,0.277004815108,22437.3900238,0.425501952879,1.34850566588e-10,2872.13818193
4,effective_pressure,107721.734502,68000.0,60293.3699957,5.07810291575e-10,-5.07810291575e-10,1.7578305906e-22,0.615557992549,49860.1973965,0.503639180718,1.59848075397e-10,3399.56446984
5,effective_pressure,139127.97011,68000.0,76080.0585798,5.89478034378e-10,-5.89478034378e-10,1.21709236052e-21,0.884344835318,71631.9316608,0.588598984436,1.87298193646e-10,3973.04314495
6,effective_pressure,179690.68319,68000.0,95687.5901784,6.90911773255e-10,-6.9091177332e-10,2.99280549104e-19,1.07258334628,86879.2510486,0.677831056696,2.16200739109e-10,4575.3596327
7,effective_pressure,232079.441681,68000.0,119960.223383,8.16479029183e-10,-8.16479029363e-10,7.36758151909e-19,1.18455880662,95949.2633361,0.77009755134,2.45938217303e-10,5198.15847154
8,effective_pressure,299742.125159,68000.0,149924.591854,9.71490786366e-10,-9.71490786408e-10,1.59699801927e-19,1.2329018458,99865.0495095,0.86497652097,2.76264692042e-10,5838.59151655
9,effective_pressure,387131.841341,68000.0,186834.190844,1.16243163005e-09,-1.16243163005e-09,4.8495404551e-21,1.23254771146,99836.364628,0.962443119574,3.07171733694e-10,6496.49105712
